well_id,n_rows,n_curves_in,families,vsh_method,phit_method,sw_method,rho_ma,rw_value,no_deep_res,apparent_pay_frac,honeypot_score,honeypot_suspicion,is_honeypot,veto_reason,honeypot_flags,final_pay_frac,vetoed,violations
008a81a1e28845dcab7bed7d8febd9b4,273,10,CAL|DT|GR|NPHI|PE|RHOB|RXO|SP,gr_linear,neutron_density,simandoux_rxo_fallback,2.65,0.05,True,0.0,0.0,1.0756,True,fill,,0.0,True,
00dda84c93a842bba5c912dcf3d7f884,235,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.433,False,0.1106,0.0,0.4904,False,,,0.1106,False,
01155052c34b43b096bfef59b323d70d,397,9,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.5236,False,0.1083,0.0,0.3762,False,,,0.1083,False,
01cb6035729e431a9153167ad247edfc,875,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.1236,False,0.0,0.0,0.5943,True,fill,,0.0,True,
01dc0279a4b74d0caffebb49f00286ca,731,9,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.02,False,0.0575,0.0,0.5119,False,,,0.0575,False,
0254d93c31c84cc286a97e99c70474a4,553,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.4428,False,0.0741,0.0,0.3213,False,,,0.0741,False,
02a3d8c533f94c078f62f801cb88148d,163,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.05,False,0.0061,3.0,4.7846,True,hard,neg_porosity_pervasive,0.0,True,
02b466d77c694e06b254edaaedbc5689,375,19,BIT|CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.0712,False,0.1093,0.0,1.3802,True,fill,,0.0,True,
02bc75fa9e6840c1aeab665063361ce1,842,11,CAL|DT|GR|NPHI|PE|RHOB|RXO|SP,gr_linear,neutron_density,simandoux_rxo_fallback,2.65,0.05,True,0.1283,0.5,1.7677,True,fill,fragile_resistivity_pay,0.0,True,
030a6ceaabf5430ea30acd671d0d2aa7,398,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.6,False,0.1181,0.0,0.4596,False,,,0.1181,False,
03f65be0dc074aa18b22c1bf21a0e2df,344,17,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.0515,False,0.2791,3.0,6.7959,True,hard,raw_oob_violations,0.0,True,
040086c1b6fd4abfb585e3bfe78244b4,322,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.1354,False,0.0,0.0,0.6325,True,fill,,0.0,True,
04a27469892a4fabb084f2f2b5bbca09,1014,12,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.02,False,0.2051,0.0,0.7007,True,fill,,0.0,True,
0520c101e4e04507808cdba98cb10377,517,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.02,False,0.207,0.0,0.8584,True,fill,,0.0,True,
05360fcd060e4183bb33f5fe50d4d1b3,557,10,CAL|DT|GR|NPHI|PE|RHOB|RT|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.5404,False,0.0754,0.0,0.444,False,,,0.0754,False,
0555f245365447d5bc4adc153cc34980,151,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.05,False,0.0795,0.0,0.8048,True,fill,,0.0,True,
05cc418b68194a9ea4fbbb4affde607b,1153,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.6,False,0.1223,0.0,0.4283,False,,,0.1223,False,
05f283f468de4325a1cef03b23682244,200,12,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.02,False,0.12,0.0,1.5791,True,fill,,0.0,True,
0614f545342d4277bce3d918d617daca,594,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.1375,False,0.0034,0.0,0.3476,False,,,0.0034,False,
061756c2dff340249661ed788b40d1dc,896,14,BIT|CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SALINITY|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.327,False,0.0658,0.0,0.6352,True,fill,,0.0,True,
068f5ccb27504188a42183155bda4bb0,1009,17,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.5278,False,0.0981,3.0,5.8294,True,hard,raw_oob_violations,0.0,True,
06da48c78e6e4e1095bf12be7053fb3f,613,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.0994,False,0.0326,3.0,4.7977,True,hard,raw_oob_violations,0.0,True,
070cdd6c286447b5971bcdbdae557847,803,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.6,False,0.1121,0.0,0.5642,False,,,0.1121,False,
070ea204900243aa8b4650681aeeac64,889,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.4637,False,0.081,0.0,0.3899,False,,,0.081,False,
