well_id,n_rows,n_curves_in,families,vsh_method,phit_method,sw_method,rho_ma,rw_value,no_deep_res,apparent_pay_frac,honeypot_score,honeypot_suspicion,is_honeypot,veto_reason,honeypot_flags,final_pay_frac,vetoed,violations
008a81a1e28845dcab7bed7d8febd9b4,273,10,CAL|DT|GR|NPHI|PE|RHOB|RXO|SP,gr_linear,neutron_density,simandoux_rxo_fallback,2.65,0.05,True,0.0,0.0,0.7431,True,fill,,0.0,True,
00dda84c93a842bba5c912dcf3d7f884,235,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.433,False,0.1106,0.0,0.2716,False,,,0.1106,False,
01155052c34b43b096bfef59b323d70d,397,9,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.5236,False,0.1083,0.0,0.0,False,,,0.1083,False,
01cb6035729e431a9153167ad247edfc,875,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.1236,False,0.0,0.0,0.344,True,fill,,0.0,True,
01dc0279a4b74d0caffebb49f00286ca,731,9,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.02,False,0.0575,0.0,0.0028,True,fill,,0.0,True,
0254d93c31c84cc286a97e99c70474a4,553,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.4428,False,0.0741,0.0,0.0394,True,fill,,0.0,True,
02a3d8c533f94c078f62f801cb88148d,163,11,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.05,False,0.0061,3.0,4.7489,True,hard,neg_porosity_pervasive,0.0,True,
02b466d77c694e06b254edaaedbc5689,375,19,BIT|CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.0712,False,0.1093,0.0,0.6964,False,,,0.1093,False,
02bc75fa9e6840c1aeab665063361ce1,842,11,CAL|DT|GR|NPHI|PE|RHOB|RXO|SP,gr_linear,neutron_density,simandoux_rxo_fallback,2.65,0.05,True,0.1283,0.5,1.1412,False,,fragile_resistivity_pay,0.1283,False,
030a6ceaabf5430ea30acd671d0d2aa7,398,10,CAL|DT|GR|NPHI|PE|RHOB|RT|RXO|SP,gr_linear,neutron_density,simandoux_rt,2.65,0.6,False,0.1181,0.0,0.0,False,,,0.1181,False,
