well_id,unsup_score
008a81a1e28845dcab7bed7d8febd9b4,0.00000
00dda84c93a842bba5c912dcf3d7f884,0.00000
01155052c34b43b096bfef59b323d70d,0.00000
01cb6035729e431a9153167ad247edfc,0.35000
01dc0279a4b74d0caffebb49f00286ca,0.00000
0254d93c31c84cc286a97e99c70474a4,0.35000
02a3d8c533f94c078f62f801cb88148d,1.37400
02b466d77c694e06b254edaaedbc5689,0.35000
02bc75fa9e6840c1aeab665063361ce1,0.72600
030a6ceaabf5430ea30acd671d0d2aa7,0.35000
03f65be0dc074aa18b22c1bf21a0e2df,0.45000
040086c1b6fd4abfb585e3bfe78244b4,0.00000
04a27469892a4fabb084f2f2b5bbca09,0.00000
0520c101e4e04507808cdba98cb10377,0.00000
05360fcd060e4183bb33f5fe50d4d1b3,0.00000
0555f245365447d5bc4adc153cc34980,0.00000
05cc418b68194a9ea4fbbb4affde607b,0.00000
05f283f468de4325a1cef03b23682244,1.10000
0614f545342d4277bce3d918d617daca,0.00000
061756c2dff340249661ed788b40d1dc,0.00000
068f5ccb27504188a42183155bda4bb0,0.45000
06da48c78e6e4e1095bf12be7053fb3f,0.00000
070cdd6c286447b5971bcdbdae557847,0.00000
070ea204900243aa8b4650681aeeac64,0.00000
07b6a9c7187a4bc3a160a26c750066af,1.55000
07d5a7d30b1a490998dd4adbd006d2f0,0.00000
0897d3c69d144bb58c5124d432dd4f96,0.00000
08a5efb6580448f9908d0b5e9c29dfeb,0.35000
08b88f478410445a9e77d14bed3a366a,0.80000
08c9992f01f94fe886a8e156aca4bde5,0.00000
08fb17d42bfc45a3884194f597f755ca,0.00000
09d16b74a4f54b43a747d0d1d8b7c3ea,0.00000
09fffc16465f4819bf157ee7b07bc42d,0.00000
0a02bac0ecde4e93bfe72f9878eb836d,0.35000
0a371dfda0f64272b24c7cd5b7d70e6a,0.00000
0a7498d33ffd47148e2b3931870cf69f,0.45000
0a9d1ea2306c4d01b729d9ff65587942,0.00000
0b18eab9ae0148edbcf9cbf607fb0147,0.00000
0bb8e2882ad6426ca529fcfc730d7908,0.00000
0be80b6650d44e82984909303362144d,0.00000
0c3d74f5fa684889ac78442c6d05df52,0.45000
0c59bb9bd1104fd2a0d8e992e86a47b9,0.00000
0cb8704054dc47608de0f28728983293,0.00000
0d6a3df8f9f54df4bf81c8601d9961c6,0.90000
0d9332063bd14ba69e224d6c9276b3ae,0.45000
0da66e1cf8b842eaa11e92196f5ee9d5,0.69300
0e71c53a6b164a4b923949199b8cacc8,1.55000
0eb41ddf3553443b90687f4076513d78,0.00000
0ee85d3fcfcd4e69aaf8caaabc130c39,1.08800
0eef38575f2f484bb42f65abeff5c26a,0.00000
0effee457908482f8512b9dfbae7cb85,0.35000
0f117a3776654487927cd62999b7826c,0.00000
0f43ce0462ea471f8500596e5ce3a1c8,0.00000
0f82f8e1d9e645d9a71f96658c442647,0.00000
0fb8928230a446278d65ba49b50dc627,1.08700
1005b570d68642d9aaaeadfc3957525e,0.35000
10dfac37ac4946b294505d1dd5cba522,0.35000
11a3f34cc694444982a8ee48602a63ce,0.80000
11bcdd09663b4d50b2b864b858a3248a,1.70200
128faf2259f24d10ba51a44204f4510d,0.88900
12ca01ef590f4e0eb98e10547d6ccdff,0.35000
133ac4f8766a4021b82c3f988b6f41cd,0.00000
13b4a532e3ea447fa56251d46244d9fd,0.35000
14196706720946deaadfd0ec58f7b118,0.35000
144c94959a8a46dd82f9036cbdd045a2,0.00000
14c4e168f3c94dca98b0c41ba50c69fd,1.10000
14cd7be78a204584b47b542bc22d69e3,0.00000
14e39492275e4593a2a0b511ddb8e08b,0.45000
15e8c93423034269867f045203d6c7b7,0.00000
16140b8307e54d2290113df2ce4f8929,0.00000
1660bf50bfc04c6e85d4c6d8b71c00fd,0.00000
16e93e9a67ec4a3f8cc523e1208dac5f,0.00000
1735a543de6649f29859f081fdd9b8d1,0.80000
173fc8a390a5491b941356154efc66a7,0.00000
1787fb253f9c486b851e5f5540fd45ef,0.00000
1792d7195ead4bb797ae1664cca53f16,0.45000
17985982829a45dcb57ea813d4263567,0.35000
18148cb7283c4a34ba7cc3dd64eec59e,0.00000
183b4fe5c2274412a717271a499a7639,0.00000
18af92589ba448d8a609de9aa0524f2c,0.00000
18b2eee7a6344478b0ddda665db4fc45,0.35000
1903014472524e2090ccb263f6c4c135,0.00000
1984a8e33aba49729af48e4fe9a0c692,0.79200
19cd4cd21d2146a2bb43a85a664a9af2,0.00000
1a7021f5236d4fb18c60308943deeaeb,0.00000
1a9659fc83a54b908dd80813aee281a9,0.00000
1ba870df769f4b72ac995f39f9ed1a04,0.00000
1bc6b4c9d770466eb414234e58312729,0.35000
1bd068fd2e3f4364a082d903a14eacf1,0.45000
1bf2798b1b154ab88b2da3eafb556c62,0.35000
1c44ec42a9c741109a67728dfb4f138a,0.00000
1c9ae580fd694749920151854f0ad659,0.35000
1cb6762bdfa0435b96f404ff4e8e4ff8,0.00000
1d091abafd64459cb1bd6b580b79a409,0.00000
1dee15dd67d749df826fe8f0ab8f5f99,0.35000
